Sample Name:	CB-1 (M-280)
Gas:	N2
Temperature (K):	77
SSA (m2/g):	37.5
Ratio density gas/liquid:	647.235
P/P0 alpha S:	0.4

P/P0	"Adsorbed Volume (cc STP/g)"
0	0
3.73E-07	0.0006
6.30E-07	0.0015
7.03E-07	0.0019
1.18E-06	0.0046
2.50E-06	0.2345
7.13E-06	0.5801
9.19E-06	0.6723
3.63E-05	1.3163
0.000117023	2.2661
0.000148617	2.515
0.000206504	2.8884
0.00046554	3.9001
0.000737775	4.4866
0.0010178	4.8794
0.00157013	5.3695
0.00206978	5.6719
0.00410882	6.3639
0.00706569	6.8634
0.0100982	7.1779
0.0151023	7.5357
0.020077	7.7887
0.0337626	8.2559
0.04457	8.4939
0.0640653	8.8476
0.0843062	9.1534
0.104666	9.4209
0.128914	9.717
0.153759	10.0376
0.17874	10.3456
0.203711	10.6883
0.228897	10.9895
0.253653	11.3315
0.278451	11.687
0.303776	12.0228
0.328618	12.3416
0.35372	12.7123
0.378705	13.0637
0.402892	13.4023
0.436198	13.8711
0.468161	14.4091
0.502284	14.9506
0.536127	15.4072
0.568475	15.9216
0.602259	16.5022
0.635486	17.1396
0.66837	17.7969
0.70116	18.6635
0.73438	19.5959
0.766658	20.6825
0.800065	22.0357
0.831976	23.7294
0.863346	25.9304
0.901214	30.1963
0.929152	35.4146
0.94824	41.2177
0.955024	44.584
0.966935	54.1739
0.975706	64.3328
0.984912	90.6275
